Provincia,Partido,Localidad,Link Indec, ADSL , CABLEMODEM , DIAL UP , FIBRA OPTICA , OTROS , SATELITAL , WIMAX , WIRELESS , Total general ,
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100, 756 ," 4,600 ", -   , 3 , -   , 742 , -   , 726 ," 6,827 ",
BUENOS AIRES,25 de Mayo,Del Valle,6854020, 181 , -   , -   , -   , 10 , 1 , -   , -   , 192 ,
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040, -   , -   , -   , -   , -   , -   , -   , 181 , 181 ,
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060, -   , 782 , -   , 496 , 16 , -   , -   , 185 ," 1,479 ",
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050, -   , -   , -   , -   , -   , -   , -   , 6 , 6 ,
BUENOS AIRES,25 de Mayo,Ernestina,6854030, 75 , -   , -   , -   , -   , -   , -   , -   , 75 ,
BUENOS AIRES,25 de Mayo,Pedernales,6854070, 154 , -   , -   , 25 , 21 , -   , -   , 7 , 207 ,
BUENOS AIRES,9 de Julio,12 de Octubre,6588030, -   , -   , -   , -   , -   , -   , -   , 19 , 19 ,
BUENOS AIRES,9 de Julio,9 de Julio,6588100," 4,241 "," 3,556 ", 80 ," 6,237 ", -   , -   , -   , 831 ," 14,945 ",
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010, 450 , -   , -   , -   , 60 , -   , -   , -   , 510 ,
BUENOS AIRES,9 de Julio,Dudignac,6588040, -   , -   , -   , -   , -   , -   , -   , 474 , 474 ,
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060, 193 , -   , -   , 2 , 2 , -   , -   , -   , 197 ,
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120, -   , -   , -   , 118 , -   , -   , -   , 42 , 160 ,
BUENOS AIRES,9 de Julio,Patricios,6588110, 81 , -   , -   , -   , -   , -   , -   , 50 , 131 ,
BUENOS AIRES,9 de Julio,Morea,6588080, -   , -   , -   , -   , -   , -   , -   , 130 , 130 ,
BUENOS AIRES,Adolfo Alsina,Carhué,6007010, 766 , -   , 1 ," 1,417 ", 1 , -   , -   ," 1,066 "," 3,251 ",
BUENOS AIRES,Adolfo Alsina,Maza,6007070, -   , -   , -   , 390 , -   , 2 , -   , 14 , 406 ,
BUENOS AIRES,Adolfo Alsina,Rivera,6007080, -   , -   , -   ," 1,253 ", -   , -   , -   , -   ," 1,253 ",
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020, -   , -   , -   , 208 , -   , -   , -   , -   , 208 ,
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050, -   , -   , -   , 60 , -   , -   , -   , -   , 60 ,
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010, 464 , -   , 2 , 943 , -   , -   , -   , 690 ," 2,099 ",
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020, -   , -   , -   , 654 , 6 , -   , -   , 57 , 717 ,
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030, -   , -   , -   , -   , -   , -   , -   , 46 , 46 ,
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040, -   , -   , -   , -   , -   , -   , -   , 14 , 14 ,
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010, 335 , -   , 6 , 1 , -   , -   , -   , 2 , 344 ,
BUENOS AIRES,Alberti,Mechita,6021030, 285 , -   , -   , -   , -   , -   , -   , -   , 285 ,
BUENOS AIRES,Alberti,Coronel Seguí,6021020, -   , -   , -   , -   , -   , -   , -   , 5 , 5 ,
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070, -   , -   , -   , -   , -   , -   , -   , 24 , 24 ,
BUENOS AIRES,Almirante Brown,Adrogué,6028010, 86 ," 9,401 ", 53 ," 12,087 ", 2 , 1 , -   , 26 ," 21,656 ",
BUENOS AIRES,Almirante Brown,Burzaco,6028010, 39 ," 16,741 ", 35 ," 12,073 ", 6 , 2 , -   , 309 ," 29,205 ",
BUENOS AIRES,Almirante Brown,Claypole,6028010, 4 ," 7,725 ", 3 ," 3,987 ", 13 , -   , -   , 2 ," 11,734 ",
BUENOS AIRES,Almirante Brown,Don Orione,6028010, -   ," 5,756 ", -   , -   , -   , -   , -   , 1 ," 5,757 ",
BUENOS AIRES,Almirante Brown,Glew,6028010, 11 ," 9,257 ", 10 ," 12,012 ", 12 , -   , -   , 54 ," 21,356 ",
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010, -   ," 7,587 ", 1 ," 1,606 ", 2 , -   , -   , 1 ," 9,197 ",
BUENOS AIRES,Almirante Brown,Longchamps,6028010, 16 ," 9,496 ", 20 ," 8,223 ", 4 , -   , -   , 1 ," 17,760 ",
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010, 1 ," 4,902 ", 3 , 787 , 2 , -   , -   , 1 ," 5,696 ",
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010, 3 ," 3,650 ", 4 ," 4,309 ", -   , -   , -   , 1 ," 7,967 ",
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010, 9 ," 10,897 ", 14 ," 10,093 ", 178 , -   , -   , 340 ," 21,531 ",
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010, 3 ," 4,414 ", 4 ," 4,746 ", 127 , -   , -   , 2 ," 9,296 ",
BUENOS AIRES,Almirante Brown,San Jose,6028010, 2 ," 9,017 ", 1 ," 1,166 ", -   , 3 , -   , 1 ," 10,190 ",
BUENOS AIRES,Arrecifes,Arrecifes,6077010, 773 ," 1,286 ", 12 ," 6,903 ", -   , 1 , -   ," 1,325 "," 10,300 ",
BUENOS AIRES,Arrecifes,Todd,6077020, -   , -   , -   , 341 , -   , -   , -   , -   , 341 ,
BUENOS AIRES,Arrecifes,Viña,6077030, 50 , -   , -   , -   , -   , -   , -   , 30 , 80 ,
BUENOS AIRES,Avellaneda,Avellaneda,6035010, 903 ," 8,579 ", 46 ," 7,418 ", 72 , 8 , -   , 79 ," 17,105 ",
BUENOS AIRES,Avellaneda,Crucesita,6035010, 1 ," 4,848 ", -   ," 3,050 ", 2 , -   , -   , -   ," 7,901 ",
BUENOS AIRES,Avellaneda,Dock Sud,6035010, 11 , 632 , -   ," 1,946 ", 12 , -   , -   , 26 ," 2,627 ",
BUENOS AIRES,Avellaneda,Gerli,6035010, 3 ," 5,769 ", -   ," 4,915 ", -   , -   , -   , -   ," 10,687 ",
BUENOS AIRES,Avellaneda,Pineyro,6035010, 9 ," 5,734 ", 1 ," 2,738 ", -   , -   , -   , -   ," 8,482 ",
BUENOS AIRES,Avellaneda,Sarandí,6035010, 703 ," 9,600 ", 60 ," 13,834 ", 4 , 1 , -   , 1 ," 24,203 ",
BUENOS AIRES,Avellaneda,Villa Domínico,6035010, 15 ," 8,495 ", 2 ," 7,630 ", 11 , -   , -   , 600 ," 16,753 ",
BUENOS AIRES,Avellaneda,Wilde,6035010, 330 ," 12,072 ", 62 ," 16,730 ", 8 , -   , -   , 100 ," 29,302 ",
BUENOS AIRES,Ayacucho,Ayacucho,6042010," 1,834 ", -   , 2 , -   , -   , -   , -   , 142 ," 1,978 ",
BUENOS AIRES,Ayacucho,La Constancia,6042020, -   , -   , -   , -   , -   , -   , -   , 10 , 10 ,
BUENOS AIRES,Ayacucho,Solanet,6042030, -   , -   , -   , -   , -   , -   , -   , 27 , 27 ,
BUENOS AIRES,Ayacucho,Udaquiola,6042040, -   , -   , -   , -   , -   , 1 , -   , 46 , 47 ,
BUENOS AIRES,Azul,Azul,6049020," 1,692 "," 14,796 ", 48 , 77 , 14 , 2 , -   ," 1,145 "," 17,774 ",
BUENOS AIRES,Azul,Cacharí,6049030, -   , -   , 2 , -   , -   , -   , -   , 521 , 523 ,
BUENOS AIRES,Azul,Chillar,6049040, -   , -   , -   , -   , -   , 1 , -   , 565 , 566 ,
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010," 3,774 "," 104,843 ", 388 ," 14,178 ", 64 , 8 , -   ," 2,764 "," 126,019 ",
BUENOS AIRES,Bahía Blanca,Cabildo,6056020, -   , 193 , 4 , 210 , 2 , -   , -   , 66 , 475 ,
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030, 320 ," 1,619 ", 1 , 2 , -   , -   , -   , 15 ," 1,957 ",
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020, -   , -   , -   , 1 , -   , 3 , -   , -   , 4 ,
BUENOS AIRES,Balcarce,Balcarce,6063010," 1,347 "," 11,787 ", 36 , 45 , 9 , -   , -   , 883 ," 14,107 ",
BUENOS AIRES,Balcarce,Los Pinos,6063020, -   , -   , -   , -   , 9 , -   , -   , 30 , 39 ,
BUENOS AIRES,Balcarce,Napaleofú,6063030, -   , -   , -   , 15 , -   , -   , -   , 107 , 122 ,
BUENOS AIRES,Balcarce,Ramos Otero,6063040, -   , -   , -   , -   , -   , -   , -   , 8 , 8 ,
BUENOS AIRES,Balcarce,San Agustín,6063050, -   , -   , -   , -   , 3 , -   , -   , 72 , 75 ,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060, -   , -   , -   , -   , -   , -   , -   , 42 , 42 ,
BUENOS AIRES,Baradero,Baradero,6070010," 1,172 "," 7,356 ", -   , 10 , -   , 2 , -   , 827 ," 9,367 ",
BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040, 104 , -   , -   , -   , -   , -   , -   , 150 , 254 ,
BUENOS AIRES,Baradero,Irineo Portela,6070020, -   , -   , -   , 1 , -   , -   , -   , 78 , 79 ,
BUENOS AIRES,Baradero,Santa Coloma,6070030, -   , -   , -   , -   , -   , -   , -   , 55 , 55 ,
BUENOS AIRES,Benito Juárez,Barker,6084010, -   , -   , 1 , 10 , -   , 2 , -   , 70 , 83 ,
BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020, 650 , -   , 20 , 563 , 4 , 1 , -   , 147 ," 1,385 ",
BUENOS AIRES,Benito Juárez,López,6084030, -   , -   , -   , 4 , -   , -   , -   , 12 , 16 ,
BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050, -   , -   , -   , 20 , -   , 1 , -   , 100 , 121 ,
BUENOS AIRES,Berazategui,Berazategui,6091010, 247 ," 16,915 ", 38 ," 29,584 ", 15 , 4 , -   , 49 ," 46,852 ",
BUENOS AIRES,Berazategui,Berazategui Oeste,6091010, 16 , 130 , -   ," 15,808 ", -   , -   , -   , -   ," 15,954 ",
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010, 1 ," 1,429 ", -   ," 1,904 ", -   , -   , -   , -   ," 3,334 ",
BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010," 1,349 "," 2,061 ", -   , 672 , -   , -   , -   , 16 ," 4,098 ",
BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010, 74 ," 6,085 ", 2 ," 9,798 ", 1 , -   , -   , -   ," 15,960 ",
BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010, 94 ," 2,042 ", 2 ," 5,666 ", -   , -   , -   , 90 ," 7,894 ",
BUENOS AIRES,Berazategui,Pereyra,6091010, -   , 245 , 1 , 431 , -   , -   , -   , -   , 677 ,
BUENOS AIRES,Berazategui,Plátanos,6091010, -   ," 1,828 ", -   ," 2,320 ", 1 , -   , -   , -   ," 4,149 ",
BUENOS AIRES,Berazategui,Ranelagh,6091010, 10 ," 2,942 ", 13 ," 7,750 ", -   , 1 , -   , -   ," 10,716 ",
BUENOS AIRES,Berazategui,Villa España,6091010, 1 ," 1,115 ", -   ," 2,342 ", -   , -   , -   , -   ," 3,458 ",
BUENOS AIRES,Berisso,Berisso,6098010," 3,116 "," 14,349 ", 21 ," 7,668 ", 6 , -   , -   , 413 ," 25,573 ",
BUENOS AIRES,Berisso,Villa Nueva,6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 ,
BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 ,
BUENOS AIRES,Berisso,Villa Arguello,6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 ,
BUENOS AIRES,Berisso,Villa Progreso,6098010, -   , -   , -   , 132 , -   , -   , -   , 250 , 382 ,
BUENOS AIRES,Bolívar,OTROS,Sin Datos, -   , 1 , -   , 1 , -   , -   , -   , -   , 2 ,
BUENOS AIRES,Bolívar,Pirovano,6105050, -   , -   , -   , -   , 50 , -   , -   , 45 , 95 ,
BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060, 727 ," 5,178 ", 2 , 10 , -   , 1 , -   , 255 ," 6,173 ",
BUENOS AIRES,Bolívar,Urdampilleta,6105070, -   , -   , 5 , 2 , -   , -   , -   , 71 , 78 ,
BUENOS AIRES,Bolívar,Hale,6105010, 10 , -   , -   , -   , -   , -   , -   , -   , 10 ,
BUENOS AIRES,Bragado,Bragado,6112010, 500 ," 3,281 ", 10 , 241 , -   , -   , -   , 212 ," 4,244 ",
BUENOS AIRES,Bragado,General O'Brien,6112030, 321 , -   , -   , 83 , -   , -   , -   , 36 , 440 ,
BUENOS AIRES,Bragado,Irala,6112040, -   , 2 , -   , -   , -   , -   , -   , 22 , 24 ,
BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070, 10 , 8 , -   , -   , -   , -   , -   , 8 , 26 ,
BUENOS AIRES,Bragado,Warnes,6112090, 135 , -   , -   , -   , 9 , -   , -   , 7 , 151 ,
BUENOS AIRES,Bragado,Comodoro Py,6112020, -   , -   , -   , 220 , -   , -   , -   , 2 , 222 ,
BUENOS AIRES,Bragado,Olascoaga,6112080, -   , -   , -   , -   , -   , -   , -   , 40 , 40 ,
BUENOS AIRES,Brandsen,Coronel Brandsen,6119050," 1,250 ", 420 , 1 ," 3,377 ", 1 , -   , -   ," 1,208 "," 6,257 ",
BUENOS AIRES,Brandsen,Jeppener,6119070, 815 , -   , -   , 2 , -   , -   , -   , -   , 817 ,
BUENOS AIRES,Campana,Campana,6126030, 990 ," 18,544 ", 1 ," 11,492 ", 18 , 3 , -   , 44 ," 31,092 ",
BUENOS AIRES,Campana,Lomas del Río Luján (Est. Río Luján),6126040, -   , 56 , -   , -   , -   , -   , -   , -   , 56 ,
BUENOS AIRES,Campana,Alto Los Cardales,6126010, -   , -   , -   , 227 , -   , -   , -   , 41 , 268 ,
BUENOS AIRES,Campana,Barrio Los Pioneros,6126020, -   , -   , -   , -   , -   , -   , -   , 60 , 60 ,
BUENOS AIRES,Campana,Chacras Del Río Luján,6126035, -   , -   , -   , -   , -   , -   , -   , 35 , 35 ,
BUENOS AIRES,Cañuelas,Alejandro Petión,6134010, 102 , 896 , 7 , -   , -   , -   , -   , 41 ," 1,046 ",
BUENOS AIRES,Cañuelas,Barrio El Taladro,6134020, -   , -   , -   , 200 , -   , -   , -   , -   , 200 ,
BUENOS AIRES,Cañuelas,Cañuelas,6134030, 909 ," 5,291 ", 30 ," 2,419 ", -   , 1 , -   , 526 ," 9,176 ",
BUENOS AIRES,Cañuelas,Máximo Paz,6134050, -   ," 2,536 ", -   , 1 , -   , -   , -   , 270 ," 2,807 ",
BUENOS AIRES,Cañuelas,Santa Rosa,6134060, -   , -   , -   , -   , -   , 2 , -   , 233 , 235 ,
BUENOS AIRES,Cañuelas,Uribelarrea,6134070, 63 , -   , -   , 686 , -   , -   , -   , 141 , 890 ,
BUENOS AIRES,Cañuelas,Vicente Casares,6134080, 175 , -   , 2 , -   , -   , -   , -   , 25 , 202 ,
BUENOS AIRES,Cañuelas,Barrio Belgrano-Máximo Paz,6134030, -   , -   , -   , -   , -   , -   , -   , 48 , 48 ,
BUENOS AIRES,Cañuelas,Gobernador Udaondo,6134040, -   , -   , -   , 1 , -   , -   , -   , 20 , 21 ,
BUENOS AIRES,Capitán Sarmiento,Capitán Sarmiento,6140010, 144 ," 4,173 ", -   , 84 , -   , -   , -   , 89 ," 4,490 ",
BUENOS AIRES,Capitán Sarmiento,La Luisa,6140020, -   , -   , -   , -   , -   , -   , -   , 44 , 44 ,
BUENOS AIRES,Carlos Casares,Cadret,6147020, -   , -   , -   , -   , 1 , -   , -   , 48 , 49 ,
BUENOS AIRES,Carlos Casares,Carlos Casares,6147030," 1,167 ", 1 , 7 ," 2,870 ", -   , -   , -   ," 2,461 "," 6,506 ",
BUENOS AIRES,Carlos Casares,La Sofía,6147060, -   , -   , -   , -   , -   , -   , -   , 1 , 1 ,
BUENOS AIRES,Carlos Casares,Moctezuma,6147080, -   , -   , -   , -   , -   , -   , -   , 161 , 161 ,
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095, -   , -   , -   , -   , -   , -   , -   , 44 , 44 ,
BUENOS AIRES,Carlos Casares,Smith,6147100, -   , -   , -   , -   , -   , -   , -   , 190 , 190 ,
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070, -   , -   , -   , -   , -   , -   , -   , 47 , 47 ,
BUENOS AIRES,Carlos Casares,Bellocq,6147010, -   , -   , 1 , -   , -   , -   , -   , -   , 1 ,
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010, 12 ," 1,263 ", 1 , 68 , -   , -   , -   , 499 ," 1,843 ",
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020, -   , -   , -   , -   , -   , -   , -   , 81 , 81 ,
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050, -   , -   , -   , -   , -   , 1 , -   , 198 , 199 ,
BUENOS AIRES,Carlos Tejedor,Curarú,6154030, -   , -   , -   , -   , -   , -   , -   , 16 , 16 ,
BUENOS AIRES,Carlos Tejedor,Timote,6154040, -   , -   , -   , -   , -   , -   , -   , 61 , 61 ,
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010, 322 ," 1,769 ", 5 , 8 , 1 , -   , -   ," 1,045 "," 3,150 ",
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020, -   , -   , -   , -   , -   , -   , -   , 31 , 31 ,
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030, -   , -   , -   , -   , -   , -   , -   , 107 , 107 ,
BUENOS AIRES,Castelli,Castelli,6168010, 52 ," 1,109 ", -   ," 1,121 ", -   , 2 , -   , 28 ," 2,312 ",
BUENOS AIRES,Castelli,Centro Guerrero,6168020, -   , -   , -   , 46 , -   , -   , -   , 3 , 49 ,
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030, -   , -   , -   , 7 , -   , -   , -   , -   , 7 ,
BUENOS AIRES,Chacabuco,Castilla,6210010, -   , -   , -   , -   , -   , -   , -   , 274 , 274 ,
BUENOS AIRES,Chacabuco,Chacabuco,6210020," 1,334 "," 10,136 ", 15 ," 1,923 ", -   , -   , -   , 130 ," 13,538 ",
BUENOS AIRES,Chacabuco,O'Higgins,6210040, 260 , -   , -   , 220 , -   , -   , -   , 12 , 492 ,
BUENOS AIRES,Chacabuco,Rawson,6210050, 59 , -   , -   , 383 , -   , -   , -   , 134 , 576 ,
BUENOS AIRES,Chascomús,Chascomús,6217010," 1,847 "," 7,930 ", 79 ," 1,168 ", -   , 1 , -   , -   ," 11,025 ",
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020, 98 ," 1,879 ", -   , -   , -   , -   , 444 , -   ," 2,421 ",
BUENOS AIRES,Chascomús,Barrio San Cayetano,6217020, -   , -   , -   , 132 , -   , -   , -   , -   , 132 ,
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010," 2,031 "," 8,936 ", 117 ," 3,919 ", 1 , 1 , -   ," 5,530 "," 20,535 ",
BUENOS AIRES,Chivilcoy,La Rica,6224040, 39 , -   , -   , -   , 2 , -   , -   , 97 , 138 ,
BUENOS AIRES,Chivilcoy,Moquehuá,6224050, -   , 338 , -   , 563 , -   , -   , -   , 30 , 931 ,
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060, 3 , -   , -   , -   , -   , -   , -   , 77 , 80 ,
BUENOS AIRES,Chivilcoy,San Sebastián,6224070, 3 , -   , -   , -   , -   , -   , -   , 49 , 52 ,
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030, 55 , -   , -   , -   , -   , -   , -   , 2 , 57 ,
BUENOS AIRES,Chivilcoy,Benitez,6224005, -   , -   , -   , -   , -   , -   , -   , 19 , 19 ,
BUENOS AIRES,Chivilcoy,Emilio Ayarza,6224020, -   , -   , -   , -   , -   , -   , -   , 5 , 5 ,
BUENOS AIRES,Colón,Colón,6175010," 4,051 "," 1,777 ", -   ," 4,677 ", -   , -   , -   , 20 ," 10,525 ",
BUENOS AIRES,Colón,Sarasa,6175040, -   , -   , -   , -   , -   , -   , -   , 14 , 14 ,
BUENOS AIRES,Coronel de Marina L. Rosales,Balneario Pehuen Co,6182020, -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
BUENOS AIRES,Coronel de Marina L. Rosales,Punta Alta  (Est Almirante Solier),6182030, 634 ," 21,380 ", 47 , 12 , -   , 6 , -   , -   ," 22,079 ",
BUENOS AIRES,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),6182050, -   , -   , -   , 165 , -   , -   , -   , -   , 165 ,
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,6182025, -   , -   , -   , -   , -   , -   , -   , 42 , 42 ,
BUENOS AIRES,Coronel de Marina L. Rosales,Bajo Hondo,6182010, -   , -   , -   , 25 , -   , -   , -   , 53 , 78 ,
BUENOS AIRES,Coronel de Marina L. Rosales,Villa del Mar,6182030, -   , -   , -   , 101 , -   , -   , -   , -   , 101 ,
BUENOS AIRES,Coronel Dorrego,Coronel Dorrego,6189030, 204 ," 1,370 ", 3 , 9 , -   , -   , -   , 32 ," 1,618 ",
BUENOS AIRES,Coronel Dorrego,El Perdido  (Est. José A. Guisasola),6189040, -   , -   , -   , 32 , -   , -   , -   , 5 , 37 ,
BUENOS AIRES,Coronel Dorrego,Oriente,6189070, -   , -   , -   , 607 , -   , -   , -   , 48 , 655 ,
BUENOS AIRES,Coronel Dorrego,Balneario Marisol,6189020, -   , -   , -   , 402 , -   , -   , -   , -   , 402 ,
BUENOS AIRES,Coronel Pringles,Coronel Pringles  (Est. Pringles),6196010, 555 ," 2,056 ", 3 , 5 , -   , -   , -   , 171 ," 2,790 ",
BUENOS AIRES,Coronel Pringles,Indio Rico,6196040, -   , -   , 1 , 24 , -   , -   , -   , 3 , 28 ,
BUENOS AIRES,Coronel Suárez,Coronel Suárez,6203020, 691 ," 2,640 ", 84 ," 1,613 ", -   , -   , -   , 785 ," 5,813 ",
BUENOS AIRES,Coronel Suárez,Huanguelén,6203050, -   , -   , 1 ," 1,630 ", -   , -   , -   , 536 ," 2,167 ",
